source_page,section,subsection,row_type,manager_fund_manager_strategy_label_raw,manager_fund_manager_strategy_label,manager_name_guess,product_name,flags,is_nav_stitched,is_fee_deducted,is_subscription_paused,fifty_underlying_start_date,return_1w_pct,return_mtd_pct,return_ytd_pct,return_2025_pct,return_2024_pct,return_2023_pct,return_2022_pct,return_2021_pct,return_2020_pct,return_2019_pct,sharpe_1y,max_drawdown_1y_pct,max_drawdown_hist_pct,extraction_quality_notes
7,量化选股,中证1000指增,product,成长 乾象,乾象,乾象,乾象金选中证1000指数增强10号B[1],[1],True,False,False,2025-01-24,5.19,3.98,18.95,47.62,22.21,-,-,-,-,-,2.71,-8.69,-19.87,
7,量化选股,中证1000指增,product,成长 量锐,量锐,量锐,量锐金选中证1000指数增强1号B[1],[1],True,False,False,2021-08-13,6.68,3.08,17.84,55.12,8.75,7.14,0.18,46.73,-,-,2.08,-11.07,-33.10,
7,量化选股,中证1000指增,product,成长 因诺,因诺,因诺,因诺金选中证1000指数增强1号B[1],[1],True,False,False,2021-04-09,6.41,4.91,16.22,46.34,4.91,5.93,-11.13,30.61,59.87,-,2.03,-11.70,-33.15,
7,量化选股,中证1000指增,product,成长 茂源,茂源,茂源,凡二金选中证1000指数增强1号B[1],[1],True,False,False,2022-04-29,5.61,2.90,15.43,57.34,14.81,15.86,-8.95,-,-,-,2.40,-10.50,-23.09,
7,量化选股,中证1000指增,product,宽德,宽德,宽德,宽德金选中证1000指数增强10号B[1][3],[1];[3],True,False,True,2022-10-28,7.98,6.33,10.01,58.14,19.57,11.47,-,-,-,-,1.98,-11.59,-26.47,
7,量化选股,中证A500指增,product,成长 平方和-中证A500,平方和-中证A500,平方和,平方和鼎盛中证A500指数增强11号,,False,False,False,-,7.32,5.47,29.08,-,-,-,-,-,-,-,3.75,-5.54,-6.40,
7,量化选股,中证A500指增,product,诚奇-中证A500,诚奇-中证A500,诚奇,诚奇金选中证A500指数增强1期[1],[1],True,False,False,2026-06-05,6.17,5.87,22.90,-,-,-,-,-,-,-,3.48,-4.97,-4.97,
7,量化选股,中证A500指增,product,世纪前沿-中证A500指增,世纪前沿-中证A500指增,世纪前沿,世纪前沿金选中证A500指数增强1号B[1],[1],True,False,False,2025-02-28,6.27,4.96,22.78,36.63,-,-,-,-,-,-,3.10,-7.04,-7.04,product_line_not_found_for_manager_backfill
7,量化选股,中证A500指增,product,成长 知行通达-中证A500指增,知行通达-中证A500指增,知行通达,知行通达金选汇智4号指数增强B[3],[3],False,False,True,2024-11-12,6.08,4.54,22.09,41.06,-,-,-,-,-,-,3.45,-6.91,-9.47,
7,量化选股,中证A500指增,product,九坤-中证A500,九坤-中证A500,九坤,九坤金选元兴中证A500指数增强20号B[1],[1],True,False,False,2025-08-01,5.17,3.70,20.22,-,-,-,-,-,-,-,3.20,-5.85,-5.85,product_line_not_found_for_manager_backfill
7,量化选股,中证A500指增,product,成长 正定-中证A500,正定-中证A500,正定,正定金选中证A500指数增强1号B[1],[1],True,False,False,2025-05-23,5.83,5.94,19.99,-,-,-,-,-,-,-,2.97,-4.99,-6.17,
7,量化选股,中证A500指增,product,顽岩-中证A500,顽岩-中证A500,顽岩,顽岩中证A500指数增强3号,,False,False,False,-,6.19,2.62,18.54,-,-,-,-,-,-,-,-,-,-7.63,
7,量化选股,中证A500指增,product,衍复-中证A500,衍复-中证A500,衍复,衍复金选中证A500指数增强一号B[1],[1],True,False,False,2025-07-04,4.97,2.86,18.02,-,-,-,-,-,-,-,2.94,-6.37,-6.37,
7,量化选股,中证A500指增,product,成长 茂源-中证A500指增,茂源-中证A500指增,茂源,茂源金选中证A500指数增强1号B[1],[1],True,False,False,2025-11-28,5.98,3.92,18.01,32.90,-,-,-,-,-,-,2.75,-6.46,-6.60,
8,量化选股,中证A500指增,product,成长 乾象-中证A500,乾象-中证A500,乾象,乾象金选指数增强进化2号1期[1],[1],True,False,False,2025-04-30,4.18,3.95,16.95,35.12,-,-,-,-,-,-,2.98,-6.57,-6.57,
8,量化选股,中证A500指增,product,宽德-中证A500,宽德-中证A500,宽德,宽德金选中证A500指数增强1号B[3],[3],False,False,True,2024-12-31,4.74,3.93,12.83,37.33,-,-,-,-,-,-,2.82,-6.55,-7.30,
8,量化选股,中证2000指增,product,成长 知行通达-中证2000,知行通达-中证2000,知行通达,知行通达汇智26号信选2000指数增强A,,False,False,False,-,7.46,5.59,29.37,-,-,-,-,-,-,-,-,-,-9.54,
8,量化选股,中证2000指增,product,成长 量派-中证2000指增,量派-中证2000指增,量派,量派金选中证2000指数增强24号B[1],[1],True,False,False,2025-10-24,5.79,3.95,24.47,63.83,-,-,-,-,-,-,2.75,-6.65,-13.86,
8,量化选股,中证2000指增,product,"成长 顽岩-中证2000,机器T0","顽岩-中证2000,机器T0",顽岩,顽岩金选中证2000指数增强1号B[1][3],[1];[3],True,False,True,2025-08-08,7.09,4.49,22.08,73.68,-,-,-,-,-,-,2.50,-11.14,-12.17,
8,量化选股,中证全指指增,product,衍复-中证全指指增,衍复-中证全指指增,衍复,衍复金选中证全指指数增强一号B,,False,False,False,2024-05-31,5.34,3.29,19.46,43.12,-,-,-,-,-,-,3.02,-7.54,-8.08,
8,量化选股,万得小市值,product,衍复-万得小市值(可追加申购),衍复-万得小市值(可追加申购),衍复,衍复金选小市值指数增强一号B,,False,False,False,2023-04-21,1.34,-1.67,6.74,68.26,27.13,-,-,-,-,-,2.05,-9.89,-27.93,
8,量化选股,万得小市值,product,宽德-万得小市值,宽德-万得小市值,宽德,宽德金选小市值指数增强1号B[1][3],[1];[3],True,False,True,2025-01-24,1.45,-1.29,1.49,69.03,36.81,-,-,-,-,-,1.75,-11.08,-29.26,
8,量化选股,红利增强,product,"成长 茂源-中证红利,红利增强","茂源-中证红利,红利增强",茂源,茂源量化中证红利指数增强1号,,False,False,False,-,-2.83,-3.42,5.77,16.99,6.68,2.09,-3.05,-,-,-,1.77,-6.05,-16.19,
